Fuentelapeña;467;240;0;240;467;8733
Villárdiga;1449;33;0;33;1449;1449
Entrala;1213;53;0;53;1213;1728
Arcos de la Polvorosa;2835;35;0;35;2835;2835
Friera de Valverde;4500;43;0;43;4500;4500
Faramontanos de Tábara;0;107;0;107;0;8297
El Maderal;2678;88;0;88;2678;3209
Torregamones;1524;175;0;175;1524;6598
Viñas;2503;29;0;29;2503;2503
Villafáfila;8812;153;0;153;8812;8967
Santa Clara de Avedillo;3185;50;0;50;3185;3550
Santovenia;7727;195;0;195;7727;8725
Santa Cristina de la Polvorosa;9569;294;0;294;9569;9569
Manganeses de la Polvorosa;1032;213;0;213;1032;9228
Rabanales;6892;240;84;240;6976;9984
Mayalde;984;70;0;70;984;2510
Carbellino;573;147;0;147;573;7018
Villaseco del Pan;4487;57;0;57;4487;4487
Jambrina;2574;29;0;29;2574;2574
Bretó;4831;89;0;89;4831;4831
Gallegos del Pan;2449;27;0;27;2449;2449
Muelas del Pan;12217;372;0;372;12217;15348
Castrogonzalo;709;315;0;315;709;9844
Matilla de Arzón;2969;57;0;57;2969;2969
Burganes de Valverde;3541;132;0;132;3541;12041
Cazurra;1730;33;0;33;1730;1730
Porto;1917;261;0;261;1917;5059
Asturianos;5486;258;0;258;5486;10457
Fresno de Sayago;4993;35;0;35;4993;4993
Requejo;363;222;0;222;363;3829
Villaralbo;608;265;528;265;1135;16663
Villadepera;1801;82;0;82;1801;7214
Rábano de Aliste;2981;93;0;93;2981;2981
Justel;3207;36;0;36;3207;3207
Valdescorriel;4445;60;0;60;4445;4445
Pinilla de Toro;5305;57;0;57;5305;5305
Villamayor de Campos;6294;87;0;87;6294;6294
Palacios de Sanabria;5996;237;0;237;5996;11173
Videmala;2874;24;0;24;2874;2874
Peleas de Abajo;2427;29;0;29;2427;2427
Arrabalde;5783;63;0;63;5783;5783
Villabuena del Puente;12881;63;0;63;12881;12881
Otero de Bodas;3998;120;0;120;3998;3998
Pedralba de la Pradería;7536;150;0;150;7536;8546
Coreses;5257;339;0;339;5257;14341
Fuentesaúco;11740;307;0;307;11740;13513
Villavendimio;3151;28;0;28;3151;3151
Montamarta;533;204;0;204;533;9353
Vadillo de la Guareña;6149;99;0;99;6149;6149
Cerecinos de Campos;3495;181;0;181;3495;7827
Coomonte;2999;42;0;42;2999;3151
Palacios del Pan;4007;115;0;115;4007;4007
Fermoselle;3005;285;0;285;3005;12558
Manganeses de la Lampreana;8545;231;0;231;8545;12489
Fuente Encalada;2914;45;0;45;2914;3391
Santa María de la Vega;3922;19;0;19;3922;3922
Valcabado;2165;78;0;78;2165;2165
Villabrázaro;10349;253;0;253;10349;11950
Fresno de la Polvorosa;1940;19;0;19;1940;1940
San Vicente de la Cabeza;9120;97;0;97;9120;9120
Algodre;2160;32;0;32;2160;2508
Villalpando;2390;1708;162;1708;2552;11094
Pereruela;9948;283;0;283;9948;10099
Roales;1898;126;0;126;1898;6853
Alcañices;3545;348;0;348;3545;13028
Torres del Carrizal;2954;24;0;24;2954;2954
Gema;4797;62;0;62;4797;4797
Morales del Vino;15794;444;565;444;16358;23622
Alcubilla de Nogales;633;49;705;49;1338;4103
Molezuelas de la Carballeda;3988;46;0;46;3988;3988
Manzanal del Barco;4033;65;0;65;4033;4033
La Hiniesta;5496;98;0;98;5496;5496
Manzanal de Arriba;7882;549;0;549;7882;10295
Villageriz;1631;17;0;17;1631;1631
Quiruelas de Vidriales;8982;148;0;148;8982;8982
Vezdemarbán;6450;48;0;48;6450;6450
Castroverde de Campos;2533;128;0;128;2533;6832
Cubillos;0;141;0;141;0;4881
Fuentespreadas;3138;51;0;51;3138;3896
Castrillo de la Guareña;1915;88;0;88;1915;1915
Tapioles;3261;50;0;50;3261;3261
Brime de Sog;3763;24;0;24;3763;3763
Venialbo;7211;85;0;85;7211;7211
Ferreruela;2593;105;0;105;2593;5813
Vega de Tera;10604;214;0;214;10604;10604
Roelos de Sayago;3149;68;0;68;3149;3149
Argujillo;4125;113;0;113;4125;4125
La Bóveda de Toro;0;184;0;184;0;8454
Zamora;30368;3149;450;3149;30818;130160
Guarrate;4819;65;0;65;4819;5396
El Perdigón;2426;216;0;216;2426;11732
Villamor de los Escuderos;5770;99;0;99;5770;7822
Trabazos;9017;316;0;316;9017;9017
Bretocino;3524;49;0;49;3524;3524
Riofrío de Aliste;10777;108;0;108;10777;14451
Almaraz de Duero;0;137;0;137;0;6892
Salce;1393;98;0;98;1393;4216
Villanueva de Azoague;5436;208;0;208;5436;5436
Fresno de la Ribera;136;144;0;144;136;6616
Pajares de la Lampreana;6224;66;0;66;6224;6812
Vegalatrave;2034;20;0;20;2034;2034
San Pedro de la Nave-Almendra;8784;125;0;125;8784;8784
Fuentes de Ropel;6083;89;0;89;6083;6372
Losacino;6045;50;0;50;6045;6045
Moraleja de Sayago;4714;93;0;93;4714;4714
Cuelgamures;1864;31;0;31;1864;1864
Espadañedo;6842;277;0;277;6842;8245
Granucillo;2904;71;0;71;2904;2904
Rionegro del Puente;3730;241;0;241;3730;9132
Casaseca de Campeán;3160;35;0;35;3160;3160
Villar de Fallaves;1725;36;0;36;1725;1725
Villardondiego;2383;39;0;39;2383;2383
Moralina;4530;252;0;252;4530;5668
Moreruela de los Infanzones;3926;56;0;56;3926;3926
La Torre del Valle;3039;67;0;67;3039;3039
Cañizo;5417;55;0;55;5417;5417
Peñausende;4985;196;0;196;4985;8584
Mahide;9790;239;865;239;10654;10654
Ferreras de Abajo;4472;261;0;261;4472;11557
Hermisende;3474;548;0;548;3474;9178
Losacio;2530;33;0;33;2530;2530
