Algorfa;1113;853;0;853;1113;44566
Vilanova d'Alcolea;0;502;0;502;0;4906
Llíria;4021;3171;381;3171;4402;123059
el Camp de Mirra / Campo de Mirra;10;145;0;145;10;5432
l'Alfàs del Pi;31068;1695;285;1695;31353;118227
Bolulla;33;633;0;633;33;1001
Benicarló;1100;1159;0;1159;1100;67914
Geldo;0;61;0;61;0;3925
Sot de Ferrer;898;235;0;235;898;6175
Carrícola;0;180;0;180;0;548
Argelita;47;129;0;129;47;2088
Almoines;97;127;0;127;97;6061
Algímia d'Alfara;0;206;0;206;0;7227
Almenara;114;808;0;808;114;39718
la Torre de les Maçanes / Torremanzanas;1808;268;0;268;1808;7932
Castellfort;0;98;0;98;0;2874
Cortes de Pallás;0;1959;0;1959;0;6252
Loriguilla;813;291;0;291;813;17478
Chelva;1033;4137;0;4137;1033;11023
Petrés;777;116;0;116;777;6773
Zarra;0;106;0;106;0;3351
Xeraco;2191;1501;118;1501;2310;27550
Massalfassar;1789;1005;0;1005;1789;9932
l'Alqueria d'Asnar;644;127;0;127;644;3288
Bejís;0;173;0;173;0;3889
Canet d'en Berenguer;804;757;301;757;1105;24077
Xodos / Chodos;0;681;0;681;0;2846
Llanera de Ranes;598;120;0;120;598;7526
Sollana;1174;714;0;714;1174;23073
Castielfabib;3035;934;0;934;3035;7778
Beniarbeig;1841;1764;0;1764;1841;12569
Aielo de Rugat;101;404;0;404;101;1069
Pilar de la Horadada;6859;6402;673;6402;7531;222927
Matet;0;130;0;130;0;2282
Castelló de Rugat;878;1630;0;1630;878;9483
Sueca;1226;2155;0;2155;1226;82043
Godella;8026;809;1181;809;9207;43935
Olocau;367;420;0;420;367;33696
Guadasséquies;79;213;0;213;79;4573
Mutxamel;14682;2233;2019;2233;16702;117715
Titaguas;0;229;0;229;0;7582
Orxeta;21;189;0;189;21;6817
Alginet;480;685;0;685;480;48542
Beniardá;184;556;0;556;184;632
la Serratella;0;81;0;81;0;1576
Alcàntera de Xúquer;175;90;0;90;175;5579
Alboraia / Alboraya;1048;1437;0;1437;1048;33971
Navajas;77;1093;0;1093;77;8276
Orpesa / Oropesa del Mar;396;2562;0;2562;396;97867
Salem;0;483;0;483;0;2388
l'Olleria;0;415;0;415;0;34269
Benimodo;854;207;0;207;854;10150
Bufali;0;81;0;81;0;1981
Sumacàrcer;298;366;0;366;298;8615
Xirivella;4110;1635;0;1635;4110;47582
Xixona / Jijona;6617;1703;0;1703;6617;19282
Jérica;3178;770;0;770;3178;10756
Museros;109;587;0;587;109;15803
Chiva;4893;6695;0;6695;4893;114674
Benagéber;338;337;0;337;338;2520
Pinet;0;382;0;382;0;1005
Higueras;805;192;0;192;805;1932
Eslida;0;315;0;315;0;6668
Massalavés;337;215;0;215;337;7629
Favara;0;278;0;278;0;10563
l'Alqueria de la Comtessa;725;214;0;214;725;9825
Benlloc;0;3738;54;3738;54;6045
el Ràfol d'Almúnia;678;870;3842;870;4520;7705
Cofrentes;0;1627;0;1627;0;4678
Catí;0;389;0;389;0;5472
Caudete de las Fuentes;1586;326;0;326;1586;10272
Algueña;477;219;0;219;477;17007
la Romana;2961;416;0;416;2961;19039
Xàtiva;11224;6821;36;6821;11260;74351
la Pobla de Vallbona;26296;1550;0;1550;26296;137808
Zucaina;20;540;0;540;20;4783
Quartell;5774;125;0;125;5774;12213
Algemesí;3996;1468;0;1468;3996;63301
Montroi / Montroy;937;238;0;238;937;22054
Enguera;4240;1969;0;1969;4240;18515
Pedreguer;8258;8266;0;8266;8258;53771
Benassal;2108;471;0;471;2108;10328
Domeño;79;372;0;372;79;8729
la Pobla de Farnals;584;1911;0;1911;584;18198
Tavernes de la Valldigna;697;1972;0;1972;697;47619
Benferri;1076;414;0;414;1076;20273
Catral;8415;1116;0;1116;8415;58444
l'Alcora;5799;1495;75;1495;5874;42464
Beneixama;0;322;0;322;0;13684
Agres;17;1102;0;1102;17;1852
Peníscola / Peñíscola;24973;2342;2801;2342;27774;84017
la Llosa de Ranes;652;143;0;143;652;13206
Bèlgida;48;240;0;240;48;4984
Olocau del Rey;992;111;0;111;992;2176
Dénia;68269;26135;2211;26135;70479;218469
la Vilavella;0;243;0;243;0;12174
Benejúzar;663;591;0;591;663;27776
Fontanars dels Alforins;0;325;0;325;0;6626
Sella;864;1102;974;1102;1838;4681
el Fondó de les Neus / Hondón de las Nieves;1707;428;0;428;1707;23823
Alfara de la Baronia;416;103;0;103;416;4396
El Toro;145;297;0;297;145;6199
Torás;4659;80;0;80;4659;7781
Gestalgar;0;135;0;135;0;7383
Almàssera;170;280;0;280;170;9037
San Fulgencio;10970;8114;0;8114;10970;76109
Llutxent;325;737;79;737;404;8659
Orihuela;90068;21006;17430;21006;107498;592946
Villahermosa del Río;0;605;282;605;282;4520
Alpuente;202;803;0;803;202;17509
Senyera;981;83;0;83;981;6213
Zorita del Maestrazgo;555;77;0;77;555;3558
Daimús;5306;1462;0;1462;5306;32064
Gavarda;513;430;0;430;513;9950
Castelló de la Plana;52962;13782;591;13782;53552;334084
Càlig;845;140;0;140;845;9041
Alfafara;139;706;0;706;139;2242
Algimia de Almonacid;131;225;0;225;131;3528
Andilla;130;235;0;235;130;3234
Vallibona;294;166;0;166;294;1910
Beniarrés;1778;1457;0;1457;1778;3150
Crevillent;60978;3900;0;3900;60978;137221
Paterna;12238;5164;388;5164;12626;249306
Almiserà;0;137;0;137;0;1792
el Campello;11484;2426;1202;2426;12686;119013
Alzira;2544;8367;325;8367;2870;107453
Bicorp;92;1128;0;1128;92;2813
Benimuslem;124;124;36;124;160;4001
Figueroles;80;277;27;277;107;4622
Bellreguard;559;333;0;333;559;22863
Salinas;2873;377;0;377;2873;17280
Catarroja;1115;907;111;907;1226;42432
Cañada;75;297;0;297;75;10291
Benifaió;1259;845;0;845;1259;33098
Torrebaja;482;514;0;514;482;4034
Elda;12849;4063;0;4063;12849;103112
Culla;1011;410;269;410;1279;3389
Altea;74838;2808;3642;2808;78480;153957
Rafelguaraf;177;445;0;445;177;7677
Aras de los Olmos;851;478;0;478;851;8306
Otos;65;184;0;184;65;1338
Pavías;716;167;0;167;716;1319
